"Post_ID","Total_Labels","Contempt_Count","Anger_Count","Disgust_Count","Contempt_Pct","Anger_Pct","Disgust_Pct","Chi_Square","P_Value","Significant","Category"
1,174,76,42,56,43.7,24.1,32.2,10.32,0.006,TRUE,"Excluded"
2,150,74,51,25,49.3,34,16.7,25.43,0,TRUE,"Excluded"
3,128,60,41,27,46.9,32,21.1,13.77,0.001,TRUE,"Excluded"
4,150,44,77,29,29.3,51.3,19.3,25.38,0,TRUE,"Excluded"
5,123,42,54,27,34.1,43.9,22,9.73,0.008,TRUE,"Excluded"
6,168,64,75,29,38.1,44.6,17.3,22.07,0,TRUE,"Excluded"
7,175,74,56,45,42.3,32,25.7,8.16,0.017,TRUE,"Excluded"
8,159,58,58,43,36.5,36.5,27,3.43,0.18,FALSE,"Usable"
9,149,33,68,48,22.1,45.6,32.2,12.67,0.002,TRUE,"Excluded"
10,137,69,38,30,50.4,27.7,21.9,19.57,0,TRUE,"Excluded"
11,123,72,33,18,58.5,26.8,14.6,39.29,0,TRUE,"Excluded"
12,133,40,62,31,30.1,46.6,23.3,12.29,0.002,TRUE,"Excluded"
13,188,53,78,57,28.2,41.5,30.3,6.17,0.046,TRUE,"Excluded"
14,159,47,73,39,29.6,45.9,24.5,12.8,0.002,TRUE,"Excluded"
15,140,36,81,23,25.7,57.9,16.4,41.18,0,TRUE,"Excluded"
16,147,67,42,38,45.6,28.6,25.9,10.79,0.005,TRUE,"Excluded"
17,120,37,60,23,30.8,50,19.2,18.45,0,TRUE,"Excluded"
18,97,49,29,19,50.5,29.9,19.6,15.23,0,TRUE,"Excluded"
19,132,42,63,27,31.8,47.7,20.5,15.85,0,TRUE,"Excluded"
20,144,55,38,51,38.2,26.4,35.4,3.17,0.205,FALSE,"Usable"
21,163,77,39,47,47.2,23.9,28.8,15.36,0,TRUE,"Excluded"
22,180,77,47,56,42.8,26.1,31.1,8.25,0.016,TRUE,"Excluded"
23,153,39,82,32,25.5,53.6,20.9,29.98,0,TRUE,"Excluded"
24,148,65,42,41,43.9,28.4,27.7,8.03,0.018,TRUE,"Excluded"
25,169,69,52,48,40.8,30.8,28.4,4.95,0.084,FALSE,"Usable"
26,164,70,49,45,42.7,29.9,27.4,7.22,0.027,TRUE,"Excluded"
27,173,71,50,52,41,28.9,30.1,5.06,0.08,FALSE,"Usable"
28,181,76,53,52,42,29.3,28.7,6.67,0.036,TRUE,"Excluded"
29,155,93,35,27,60,22.6,17.4,51.87,0,TRUE,"Excluded"
30,85,44,31,10,51.8,36.5,11.8,21.74,0,TRUE,"Excluded"
31,106,59,28,19,55.7,26.4,17.9,25.94,0,TRUE,"Excluded"
32,130,51,53,26,39.2,40.8,20,11.4,0.003,TRUE,"Excluded"
33,95,52,19,24,54.7,20,25.3,20.6,0,TRUE,"Excluded"
34,129,55,43,31,42.6,33.3,24,7.4,0.025,TRUE,"Excluded"
35,131,64,45,22,48.9,34.4,16.8,21.46,0,TRUE,"Excluded"
36,108,56,31,21,51.9,28.7,19.4,18.96,0,TRUE,"Excluded"
37,160,71,63,26,44.4,39.4,16.2,23.07,0,TRUE,"Excluded"
38,144,63,43,38,43.8,29.9,26.4,7.93,0.019,TRUE,"Excluded"
39,134,60,44,30,44.8,32.8,22.4,10.95,0.004,TRUE,"Excluded"
40,146,57,53,36,39,36.3,24.7,5.84,0.054,FALSE,"Usable"
41,95,54,20,21,56.8,21.1,22.1,24.43,0,TRUE,"Excluded"
42,97,54,23,20,55.7,23.7,20.6,22.75,0,TRUE,"Excluded"
43,165,104,36,25,63,21.8,15.2,68.58,0,TRUE,"Excluded"
44,161,55,62,44,34.2,38.5,27.3,3.65,0.161,FALSE,"Usable"
45,129,62,40,27,48.1,31,20.9,15.5,0,TRUE,"Excluded"
46,155,68,54,33,43.9,34.8,21.3,13.07,0.001,TRUE,"Excluded"
47,154,64,45,45,41.6,29.2,29.2,5.12,0.077,FALSE,"Usable"
48,146,66,36,44,45.2,24.7,30.1,10.31,0.006,TRUE,"Excluded"
49,161,75,44,42,46.6,27.3,26.1,13.54,0.001,TRUE,"Excluded"
50,129,44,60,25,34.1,46.5,19.4,15.29,0,TRUE,"Excluded"
